word,count
西南航空,3
跌超,1
第二季度,1
营收,1
下滑,1
习近平,7
视察,5
空军,5
航空,13
大学,5
来到,2
无人机,14
实验室,2
察看,2
操控,4
教学设施,2
培养,4
情况,2
无人,2
作战,2
研究,2
专业,2
建设,3
实战,2
教育,2
训练,2
加快,2
指挥,2
人才,2
解放军报,3
八一,2
前夕,2
深化改革,2
创新,2
提高,2
办学,2
育人,2
水平,2
央视,4
新闻,1
国防,2
军工,2
板块,14
持续,1
走高,1
中航,2
沈飞钢,1
研高纳,1
涨停,2
航发,1
动力,1
航天,3
彩虹,2
重机,1
洪都航空,2
天箭,1
科技,2
走强,1
江龙,1
船艇,1
防务,1
瑞特,1
股份,1
涨超,1
中国,2
船舶,5
科海,1
发表,2
重要讲话,1
八一建军节,1
到来之际,1
中共中央,1
总书记,1
国家,2
主席,2
中央军委,2
代表,1
党中央,1
学校,2
师生员工,1
致以,2
诚挚,1
问候,1
全体,1
人民解放军,1
指战员,1
武警部队,1
官兵,1
民兵,1
预备役,1
人员,1
节日,1
祝贺,1
贯彻,3
时代,3
强军,1
思想,1
军事,2
战略方针,1
教育方针,1
努力,1
开创,1
发展,1
局面,1
两市,2
成交,2
金额,2
连续,2
第个,2
交易日,2
突破,2
亿股,1
三大,1
指数,4
震荡,2
制造,4
大涨,4
万亿,1
航天航空,4
青蒿素,4
生物,4
疫苗,4
表现,4
强势,4
保险,4
文化传媒,4
数字,4
货币,4
领跌,4
股市,3
播报,3
股三大,3
逆势,3
下跌,2
阿联酋,5
乘客,5
支付,3
新冠,5
医疗,5
费用,9
当地,4
时间,5
乘坐,2
阿航,2
飞机,2
往返,2
世界各地,2
检测,2
迪拜,2
媒体,2
办公室,2
声明,2
旅途,2
诊断,2
确诊,2
肺炎,2
最多,2
欧元,4
隔离,2
检疫,2
舱位,2
目的地,2
旅客,4
申请,4
政策,2
从即日起,2
生效,2
为止,2
无需,2
注册,2
有效期,2
乘机,2
首段,2
航程,2
受新冠,1
疫情,1
影响,1
美国,2
国内,1
国际航空,1
旅行,1
陷入,1
停顿,1
截至,1
二季度,2
美联航,1
达美,1
四大,1
航空公司,1
收均,1
下降,1
营收超,1
市场,3
预期,1
知情,2
人士,2
透露,2
波音,4
复飞,2
早于,1
亚洲,1
新闻台,1
报道,2
美国联邦,3
管理局,3
修复,1
正式,1
适航,1
指令,1
提出,1
设计方案,1
感到,1
满意,1
一位,1
公众,1
评论,1
农业,2
农村部,1
日向,1
巴基斯坦,1
粮食安全,2
研究部,1
捐赠,1
台大,1
植保,2
援巴,1
物资,1
抗击,1
蝗灾,1
保护,1
报告,1
我国,1
民用,1
规模,1
已达,1
亿元,1
增长,1
航空摄影,1
行业,1
巡检,1
警用,1
安防,1
遥感,1
测绘,1
物流,1
快递,1
应急,1
救援,1
领域,1
稳步发展,1
航拍,1
复合,1
增长率,1
接近,1
公司,1
长鹰,1
信质,1
电子,1
上证,1
资讯,1
