word,count
东方航空,3
官微,2
遏制,4
违规,6
加价,2
销售,2
机票,7
紧急,2
公告,4
近期,2
国内,2
疫情,4
防控,2
境外,2
持续,2
变化,2
东航,7
国际,3
返程,2
航班,4
座位,4
供需矛盾,2
异常,2
尖锐,2
市场,3
高价,2
倒卖,4
不法行为,2
扰乱,2
航空运输东航,1
旗下,2
海航,3
食获,1
食品,4
生产,2
许可证,2
上海,2
首家,2
空餐,2
地餐,2
航食,2
企业,1
中国,1
证券报,1
集团,2
获悉,1
上海市,1
长宁区,1
监管局,1
当日,1
所属,1
上海东方,1
航空,1
有限公司,1
简称,1
颁发,1
企业东方航空,1
即日起,2
专项,2
航空运输,1
市场秩序,1
公司,1
购买,1
支付,1
费用,1
高于,1
公布,1
运价,1
旅客,3
投诉,1
举报,1
凭证,1
调查,1
协助,1
维护,1
合法权益武汉,1
复航,2
时分,1
乘坐,1
武汉,2
天河,1
机场,2
起飞,1
目的地,1
三亚,1
标志,1
暂停,1
商业,1
客运,1
天后,1
正式,1
新华社,1
