word,count
德国汉莎航空公司,3
夜间,4
声明,4
公司,10
管理层,4
德国联邦政府,4
规模,4
数十亿,4
欧元,7
一揽子,4
救助,8
计划,6
具体实施,4
谈判,11
确保,4
长期,4
偿债,4
能力,4
汉莎,9
达成协议,6
目标,4
德国总理,5
默克尔,5
同一天,4
新闻,5
发布会德媒,1
汉莎航空,7
政府,6
遇阻,1
德国,1
商报,1
报道,1
德国政府,3
障碍,1
周末,1
媒体,1
援引,1
匿名,1
消息人士,1
此事,1
涉及,1
接受,1
飞机,2
制造商,1
空中客车,1
订购,1
这家,2
陷入困境,1
航空公司,1
带来,1
沉重,1
财务,1
负担,1
界面,1
新闻政府,1
出资,1
购入,2
股份,2
外媒称,1
当地,1
时间,1
日晚,1
接近,1
达成,1
一项,1
协议,1
旨在,1
挽救,1
因新冠,1
疫情,1
冲击,1
欧洲,1
航空运输,1
企业,1
透露,1
私有化,1
第一次,1
参股,1
参考消息德国政府,1
临近,2
发布会,3
欧盟委员会,3
关键,3
阶段,3
预计,3
各方,3
近期,3
作出,3
最终,3
决策,3
央视,3
新闻德国政府,1
新闻德国汉莎航空公司,1
