word,count
美联航,1
恢复,5
航线,7
美国联合航空,3
运营,5
率先,2
复航,2
上海浦东,2
旧金山,6
经停,2
首尔,2
仁川,2
机场,2
波音,3
客机,2
执飞,2
每周,4
两班,2
旅客,2
每周三,2
周六,2
搭乘,2
航班,2
上海,4
四周,2
出发,2
飞往,2
证券时报美股,1
盘前,2
消息,1
速报,1
周二,2
美国,1
股指,1
期货,3
小幅,1
下跌,1
截至,1
发稿,1
跌标,1
期指,1
纳指,1
微跌,1
美联储,1
主席,1
鲍威尔,1
财政部长,1
努钦,1
晚些时候,1
众议院,1
金融服务,1
委员会,1
经济,1
刺激,1
措施,1
作证,1
富国银行,1
削减,1
股息,1
华尔街,1
大行,1
按兵不动,1
荷兰,1
皇家,1
壳牌,1
减计,1
亿至,1
亿美元,1
资产,1
公共卫生,1
事件,1
石油,1
天然气,1
价格,1
长期,1
打击,1
挪威,1
航空,1
取消,1
飞机,1
订单,1
追讨,1
停飞,1
损失,1
优步,1
超向,1
外卖,1
发出,1
收购,1
要约,1
科技,1
涨超,1
第三,1
财季,1
业绩,1
预期美联航,1
