word,count
美股,2
全线,2
低开,1
开道,1
指跌,1
标普,1
指数,2
纳指,2
上市,2
英国,3
银行,4
股普跌,1
汇丰,3
控股,2
巴克莱,2
劳埃德银行,1
跌近,1
苏格兰,1
皇家,1
航空,3
下挫,2
美国航空美股,1
美国航空,2
集团,2
达美航空,2
美国联合航空美股,1
盘前,5
消息,1
速报,1
美国,6
就业人数,1
创年,1
最低水平,1
截至,1
发稿,1
期货,1
跌标,1
期指,1
欧洲央行,1
监管,1
暂停,1
派息,1
股票,1
回购,1
大跌,1
巴克莱银行,1
跌超,2
劳埃德,1
摩根士丹利,1
底部,1
重返,1
估值,1
便宜,1
市场,1
克利夫兰,1
联储,1
主席,1
斯特,1
周二,1
冠状病毒,1
危机,1
失业率,1
超过,2
情况,2
不像,1
预测,1
糟糕,1
股盘,1
表现,1
疲软,1
美国联合航空,1
波音,1
苹果,1
下跌,1
富士康,1
投资者,1
保证,1
秋季,1
推出,1
梅西,1
百货,1
此前,2
剔除,1
出标,1
京东,1
刘强,1
旗下,1
公司,1
高管,1
卸任,1
企业美国,1
航空母舰,2
超百人,1
感染,3
新冠,2
肺炎,2
旧金山,1
纪事报,1
报道,1
当地,1
时间,1
罗斯福,2
已有,1
航母,1
舰长,1
紧急,1
写信,1
请求,1
全员,1
下船,1
检测,2
隔离,1
恶化,1
海上,1
传出,1
确诊,1
人数,1
急剧,1
攀升,1
目前为止,1
受到感染,1
人员,1
症状,1
资深,1
军事,1
官员,1
上周,1
舰上,1
多位,1
官兵,1
这艘,1
航舰,1
关岛,1
停泊,1
人民日报,1
