word,count
震惊,1
投资,1
抄底,1
抄到,1
半山腰,1
短线,1
割肉,1
航空,3
巴菲特,2
不住,1
美东,1
时间,1
日伯克,1
希尔,4
哈撒韦,3
美国,1
证券交易,1
委员会,1
提交,2
文件,1
近日,1
卖出,1
达美航空,5
西南航空,3
股票,2
值得注意,1
伯克,3
并未,1
解释,1
抛售,1
两家,1
公司股票,1
原因,1
此举,1
不少,1
投资者,1
感到,1
困惑,1
不久前,1
出手,1
加仓,1
一贯,1
价格,1
买入,1
长期,1
持有,1
理念,1
背道而驰,1
每日,1
经济,2
新闻美国,1
航空业,2
唯一,1
不确定性,1
万亿美元,1
刺激,1
方案,1
政府,3
援助,1
申请,1
航空公司,3
美国航空,1
集团,1
联合航空,2
捷蓝,2
不足以,1
度过,1
流感,1
流行,2
旅游,1
需求,1
崩溃,1
带来,1
财务,1
压力,1
上周五,1
晚些时候,1
公布,1
令人瞠目,1
现金,1
消耗率,1
哈撒,1
韦公,1
出售,1
未来,1
发展,1
道路,1
高度,1
国内,1
最低,1
飞行,1
股权,1
权证,1
金融工具,1
偿还,1
贷款,1
阻碍,1
支持,1
忽略,1
旅行,1
才能,1
恢复,1
水平,1
