word,count
美国,7
新冠,3
疫情,3
蔓延,3
航空,6
产业,3
首当其冲,3
打击,3
三大,4
航空公司,4
纷纷,3
告急,4
达美航空公司,3
致信,6
员工,8
公司,7
二季度,3
营收,3
下降,3
亿美元,3
相当于,3
去年同期,3
暴跌,5
万名,3
已有,3
万人,3
自愿,3
停薪留职,3
美联航,7
员工疫情,1
冲击,1
航空业,1
埃德,1
巴斯蒂安,1
奥斯卡,1
穆诺茨,1
国会,2
三月份,2
救助,2
计划,2
被迫,2
削减,5
人员,2
开支,2
工资福利,1
四月,1
五月,1
美国航空公司,2
国内,2
航班,2
国际航班,2
本周,5
停飞,1
客机,1
货机,1
运输,1
医疗,1
物资,1
央视美国航空,1
反弹,1
多只,1
大型,1
已跌,1
六成,1
收涨,2
累跌超,4
迄今,2
达美航空,3
收跌,2
年内,2
跌超,2
美国航空,2
累跌美国,1
央视,1
新闻美联航,1
累跌美国航空,1
上涨,2
盘中,2
一度,2
大涨,2
日内,1
涨幅,1
收窄,1
美国联邦,1
管理局,1
消毒,1
重新启动,1
纽约,1
机场,1
管制,1
