word,count
智慧,29
海南,28
总体方案,3
正式,2
公布,12
拟花,1
打造,12
全球,20
自贸港,3
标杆,2
张雪,1
全泽源,1
下称,2
方案,7
提出,2
建设,23
国际,45
信息,8
通信,7
开放,9
试验区,4
精细,6
智能,10
社会,8
治理,11
样板,3
创建,1
旅游,18
消费,8
体验,4
构筑,1
开放型,3
数字,13
经济,37
创新,26
高地,3
统筹,2
部署,2
大脑,4
支撑体系,3
五大,4
重点,7
全力,3
互联,1
数据,28
高效,5
共享,2
服务,21
便捷,2
普惠,1
实体,5
有机,1
融合,6
特征,2
新型,4
岛四梁,1
八柱,3
地基,3
总体,4
架构,2
四梁,2
战略,7
定位,2
和物,1
联网,2
基础设施,7
提升,10
能力,7
现代化,1
监管,4
模式,6
构建,3
立体,1
防控,6
生态,4
体系,4
优化,3
推动,13
政府,12
公共服务,1
加快,6
优势产业,1
数字化,3
转型,3
产业,11
优做,1
内容,1
机制,6
体制,4
共性,1
设施,2
内核,1
技术创新,2
引擎,2
健全,2
运营,9
标准,3
一体化,2
主体,1
配合,2
要素,4
支持,8
资源,3
中心,2
阶段性,2
目标,2
一是,1
年底,3
确立,2
关键,5
核心,2
平台,5
初步,3
建成,2
以物,1
代表,2
突破,2
孪生,4
城市,4
覆盖,1
区域,2
试点,1
取得成效,1
虚实,1
启动,1
探索,2
保障,7
就绪,1
二是,1
完善,3
自由贸易,7
引领,5
支撑,3
作用,4
进一步,2
彰显,1
驱动,3
质量,2
服务质量,1
高速,1
方向,2
升级,3
畅达,1
国际化,1
环境,3
新一代,1
信息技术,2
赋能,2
产业化,1
提速,2
基于,2
海关监管,1
持续,11
增强,3
三是,1
自由港,1
第一,1
省为,1
标志,3
战略目标,1
互联网,4
业务,7
医疗,4
康养,1
离岸,1
创业,2
跨境,3
特色,1
领域,5
综合,6
领跑,1
全国,4
各方,1
群策群力,1
中共中央国务院,1
印发,1
充分发挥,2
区块,1
政务,4
规范,1
流程,1
再造,1
一网通,1
有序,3
水平,5
一名,1
研究,5
人士,4
信息化,1
越来越,2
带动,2
发展,24
以大,1
集约化,1
调动,1
各个部门,1
市场主体,1
参与,4
牵头,1
单位,1
工程项目,1
资金来源,1
推进,5
政府部门,1
扮演着,1
决策,2
引导,1
角色,1
企业,22
释放,3
活力,1
技术,6
中国电信,1
举办,2
重点项目,1
签约,1
活动,7
省委,2
省政府,2
签署,1
合作,6
协议,2
依托,1
遍布,1
网络,3
数据中心,2
着手,1
助力,5
营商,2
海航,1
集团,3
腾讯,1
多尼,1
公司,22
围绕,2
航空,27
达成,1
三方,1
高标准,3
高质量,6
高新技术,1
实际行动,1
首架,1
客舱,1
局域网,1
改造,1
航班,17
海口,2
飞往,2
北京,4
服务业,4
迈出,1
一步,1
华为,3
中国,32
峰会,1
政企,1
陈浩,1
未来,8
携手,4
伙伴,1
海南省,1
基建,2
联接,1
计算,1
各行各业,1
加速,1
机会,12
乘坐,2
载人,10
飞船,10
首次,6
商业,6
航天,2
四名,2
宇航员,14
香农,2
沃克,2
维克多,2
奥利弗,1
迈克,2
霍普金斯,2
日本,3
宇宙,2
开发,5
机构,10
野口,2
宗一,2
网易,3
科技,4
消息,3
外媒,1
报道,3
美国,21
当地,1
时间,5
周五,3
美国宇航局,1
太空,1
暂定,1
执行,10
发射,8
前往,4
空间站,9
驻留,1
上个月,2
此次,2
名为,1
搭载,1
格洛弗,1
测试计划,1
结束,5
认证,4
定期,6
飞行,3
过程,3
里程碑,1
这项,1
鲍勃本,1
道格,1
赫尔利,2
搭乘,2
本肯,1
本月,1
早些时候,2
成功,1
地球,1
从技术上,1
猎鹰,1
火箭,1
资格,2
一部分,3
航天器,1
常规,2
操作,3
此前,14
计划,11
下旬,2
推迟,1
一个月,1
俄罗斯,3
联盟,2
后者,1
月份,10
机组人员,1
轮换,1
需求,15
时间表,1
意味着,4
停靠,1
定于,1
春季,1
重叠,1
凯特,1
鲁宾,1
航天局,1
谢尔盖,2
雷日科夫,1
德斯维尔,1
科夫,1
抵达,2
克里斯,1
卡西迪,1
阿纳托利,1
伊万,2
尼辛,1
瓦格纳,1
离开,1
称该,1
审查,2
这次,2
终极,1
测试,1
原定,1
完全一致,1
工作人员,1
仔细检查,1
确保,4
情况,12
进展,2
顺利,2
按计划,1
明年,3
春天,1
送名,1
前昂,1
接替,1
科学,2
之旅,1
小小,1
丁广胜,1
经验丰富,1
投资者,3
来说,2
季度,3
第天,1
风向标,1
意义,3
日子,1
大佬,2
作业,1
证监会,1
股票,5
资产,4
超过,7
亿美元,11
内向,1
提交,2
季度末,1
持仓,18
报告,12
文件,1
巴菲特,25
大幅,4
减持,6
银行,11
新建,6
买入,11
黄金,22
疫情,58
期间,7
股神,1
麾下,1
伯克,9
希尔,9
哈撒韦,2
二季度,30
来看,6
较为,2
保守,1
科技股,4
依然,4
钟爱,1
标的,1
不太,1
看好,3
反而,1
顺势,2
截至,5
年月日,2
摩根,8
大通,6
一季度,8
万股,9
减少,4
富国银行,7
亿股,4
减至,2
万事达,2
纽约,3
梅隆,2
程度,4
清仓,8
高盛,6
多只,2
股盘,1
股价,3
下跌,14
盘后,5
通盘,2
动摇,1
苹果公司,6
信心,6
稳坐,1
市值,12
首位,1
苹果,4
上涨,5
失望,1
累计,4
近为,1
带去,1
百亿美元,1
收益,3
三季度,2
至今,2
涨近,1
创造,1
唯一,2
巴里,4
当季,4
价值,3
大涨,2
达美,2
西南航空,2
美联航,2
索罗斯,4
提醒,1
美股,4
泡沫,2
一位,2
投资,9
大举,2
合众,1
摩根士丹利,1
花旗银行,1
增持,9
股如,1
花旗,1
电商,1
数量,3
个股,1
期权,1
不少,3
去年,1
四季度,2
新进,1
近期,5
这位,1
走高,1
发出,1
警告,2
对外,1
媒称,1
市场,32
陷入,7
美联储,1
流动性,1
催生,1
入市,1
外资,3
纷纷,2
避险,1
莱德,1
微软,4
亚马逊,3
脸书,1
谷歌,1
母公司,2
加仓,7
伟达,2
概股,5
阿里巴巴,5
高盛集团,1
标普,2
指数,4
罗素,1
第二季度,3
第一季度,2
增至,1
股中,2
四个,1
排名,3
对冲,3
基金,10
持股,2
增加,5
另一家,2
新增,2
仓位,1
摩尔,2
资本,3
脸书英,1
加仓中,2
华尔街,1
鳄们,1
青睐有加,1
中概,1
教育,2
流媒体,1
巨头,1
世界,6
头号,1
桥水,6
幅度,3
持有,2
十大,1
重仓,1
第六位,1
加仓蔚,1
万美元,1
多多,2
京东,3
百度,1
列景林,1
中通,1
快递,2
清单,1
唯品,1
哔哩,2
爱奇艺,1
期末,3
位居,1
第二位,1
大笔,1
第五位,1
国际文传电讯社,1
阿拉木图,1
日电,2
哈萨克斯坦,1
国家,22
统计,2
委员会,1
货物,7
周转量,8
亿吨公里,6
下降,20
铁路,8
增长,13
公路,2
管道,1
运输,12
海运,5
货运,5
万吨,2
公里,3
期内,1
旅客,19
亿人,1
一倍,2
新华社,2
综述,1
利好,1
利空,2
交织,1
油价,8
窄幅,2
波动,3
刘亚南,1
石油输出国组织,1
欧佩克,6
与非,3
产油国,6
自月,2
上调,2
原油,12
产量,6
得益于,1
复苏,20
缓慢,2
吸纳,1
区间,1
分析,4
走势,3
取决于,7
各国,5
恢复,16
石油,3
调整,5
影响,14
因素,4
供应,2
美国能源,2
日前,3
日均,6
预期,4
下调,3
万桶,6
暴跌,3
导致,4
页岩,1
大规模,4
减产,8
一周,5
库存,2
连续,4
三周,2
储备,1
基地,2
提取,1
存放,1
价格,5
期货,1
高级,1
分析师,4
菲尔,1
弗林,1
担忧,1
抑制,1
人气,1
能源,6
多个,2
补偿,2
此举,1
促使,1
保持稳定,1
指为,1
保证,2
之间,2
达标,1
额外,1
弥补,1
形势,2
不容乐观,1
上以,1
利空消息,1
近几个月,2
这一,4
新冠,10
背景,2
人口,2
流动,2
停滞,3
航空业,5
疲弱,1
埃信华迈,1
马歇尔,1
斯蒂夫,1
前景,2
新一轮,1
财政,1
刺激,1
措施,7
谈判,1
陷入僵局,1
带来,6
不确定性,3
美国银行,2
大宗,2
商品,1
衍生品,1
主管,1
弗朗西斯科,1
布兰,1
预计,2
第二,3
前提,1
伦敦,1
布伦特,1
轻松,1
每桶,1
美元,1
关口,1
奥地利,1
指出,2
今年年底,1
交货,2
原油期货,2
涨幅,2
大于,1
由此,1
可推断,1
