word,count
长宁区,1
消息,2
多家,8
企业,91
政策,26
补贴,4
园区,40
总计,2
减免,5
千万,1
租金,4
市级,1
产业,8
项目,22
签约,3
入驻,3
第一季度,31
面对,2
疫情,41
冲击,7
虹桥,5
临空,29
经济,6
示范区,24
下称,1
交出,1
一份,3
不错,1
答卷,2
背后,2
推进,2
复工,8
达产,3
不遗余力,1
多年,1
优化,1
营商,4
环境,2
积基树本,1
按下,2
加速,3
一季度,89
不为人知,1
故事,1
走访,1
试图,1
揭开,1
复苏,1
密码,1
突如其来,2
一场,2
大考,3
经历,1
数十载,1
发展,6
已有,3
逾家,1
跨国公司,1
地区,2
总部,1
企业家,1
诸如,3
联合利华,3
博世,2
伊顿,1
新冠,4
肺炎,7
这位,2
店小二,2
来说,3
无疑,1
服务中心,3
研究部,5
近日,1
针对,3
调研,1
报告,13
显示信息,1
服务业,6
物流业,1
商贸业,1
金融,1
专业,2
行业,10
调查,1
对象,1
影响,22
约成,1
较为,2
市场,16
扩展,2
困难,7
不景气,1
经营,16
成本上升,1
营收,25
利润,17
减少,13
航空,10
重点,3
遭受,2
最为,2
领域,7
中国,20
此次,1
世卫,1
组织,1
列为,1
国际,6
突发,1
公共卫生,1
事件,1
多个,1
国家,1
中断,1
业务,13
旅客,4
出行,1
意愿,1
骤降,2
带来,3
旅客量,2
断崖,1
下跌,3
信息,5
平台,6
数据,9
日间,1
航线,3
高达,2
运能,3
万个,2
座位,2
取消,2
国内航线,1
规模,12
瞬间,1
缩水,4
中国东方航空,1
未能,2
幸免于难,1
大幅,18
期间,9
办理,1
退票,1
服务,6
导致,1
航空公司,2
现金流,1
吃紧,1
成本,2
可想而知,1
一家,2
名叫,1
满帮,2
物流,3
城市,3
之间,3
干线,1
运输,2
卡车,1
承运,1
方与,1
货主,1
搭建,3
对接,2
初期,2
订单,2
停掉,1
开展业务,1
这是,1
封城,1
人员,2
跨省,1
区域,3
极有,1
状况,1
出于,2
司机,1
不愿,1
时间,6
差异,1
车辆,1
双向,1
货源,1
匹配,1
加剧,2
返程,1
装货,1
增加,8
运输成本,2
小微,1
更是,4
难以为继,1
破产,1
种种,2
危机,2
奋力,1
自救,3
报喜鸟,5
控股,6
上海,6
宝鸟,1
服饰,2
有限公司,8
月初,1
紧急,1
成立,3
隔离,5
生产线,7
服装,1
技术,3
产业链,2
优势,2
生产,15
防护,1
口罩,4
下游,1
销量,2
受损,1
情况,5
充分利用,2
产能,7
应对,2
线下,1
消费,8
骤减,1
危中,1
寻机,1
充分运用,1
天猫,2
京东,2
抖音,1
邀请,3
设计师,1
员工,19
老板,1
直播,3
带货,1
拓宽,1
线上,2
渠道,5
追寻,1
品牌,3
年轻化,1
凤凰,1
本部,2
旗下,3
每月,1
多达,1
天月,1
明星,1
袁成杰,1
开播,1
小时,1
吸引,3
万人次,1
观看,1
互动,1
次数,1
当天,1
排位赛,1
赛道,1
排名,1
前十,1
逆行,1
成功,4
看作,1
零售,2
变革,3
进程,1
节点,1
精准,1
助力,2
复产为,1
增效,1
进键,1
擅长,1
长宁,4
层级,1
职能部门,1
扶持,2
纷纷,2
出炉,2
融资,2
税收,1
房租,1
多方面,1
给予,1
实质性,1
帮扶,1
一般来说,1
设计,1
自下而上,1
自上而下,1
先由,1
基层,2
需求,3
论证,2
汇总,3
上报,1
上层,1
搜集,1
研究,2
下达,1
突发性,1
出台,5
前期,1
摸排,1
很多,1
第一,3
知晓,1
申报,3
却会,1
受理,1
部门,8
消化吸收,1
协调,1
窗口,1
缺乏,3
足够,1
解读,1
能力,6
更好,1
读懂,1
快速,3
做出,1
学习,1
吃透,1
实施,5
指南,1
实施细则,1
申请,1
反馈,1
分享,1
专管员,1
一一,1
解答,1
对称,1
心中有数,1
多重,1
身份,2
有利于,1
最大化,1
方案,7
商务区,2
片区,2
张江,2
高新技术,1
开发区,1
分园,1
依据,1
从优,1
重复,1
原则,1
享受,1
截至,5
余家,2
携程,1
大体,1
借助,2
