word,count
标题,1
交付,7
提速,1
国产,7
客机,5
入编,2
大航,4
支线,4
飞机,31
商业,3
运营,13
四周,2
之际,1
运营商,2
再次,1
扩容,1
中国,9
商飞,7
公司,13
浦东,3
中国国航,2
东航,13
南航,11
大国,1
航空,44
首架,6
意味着,1
正式,4
开启,2
标志,1
国际,5
主流,3
航空公司,26
机队,3
年月日,2
国航,7
签署,3
购买,4
合同,1
三家,1
计划,11
引进,3
架飞机,11
此次,1
交付给,1
采用,4
座全,3
经济舱,4
布局,5
陆续,1
接收,9
组建,1
成立,1
一二三,8
基地,2
设在,1
上海虹桥机场,1
主体,1
推动,1
商用,1
规模化,1
型飞机,1
全新,2
喷涂,1
设计,2
选择,2
座位,2
空间,1
宽度,3
窄体,2
干线,1
差异,1
透露,4
航线,10
飞行,9
训练,2
验证,5
民航,1
大型,2
公共,1
航空运输,3
承运人,1
资质,1
审定,1
运行,4
手册,1
材料,1
审核,1
克服,1
疫情,11
因素,1
带来,1
客观,1
困难,2
力争,3
局方,1
合格证,1
载客,1
此前,2
规划,2
架到,1
年前,1
规模,4
未来,4
编制,1
符合,1
市场需求,1
网络结构,1
现有,2
网络,3
互联互通,1
互助,1
互补,1
综合,1
服务,4
能力,2
更强,1
还于,1
采购,1
意向,2
合作,1
框架,1
协议,1
全球,5
首家,2
用户,3
六架,1
试飞,3
离开,1
家乡,1
上海,2
山东,1
东营,1
江西,3
南昌,1
西安,2
阎良,1
科目,2
首批,1
客户,1
翼盒,1
中央,1
壁板,1
零组件,1
成都,9
三地,1
厂房,1
开工,1
投产,1
有望,2
年底,1
启动,1
抵达,1
广州,5
工作,2
到达,1
当晚,1
紧急,1
撤离,1
后续,1
转场,1
南阳,1
首航,2
白云,1
揭阳,1
潮汕,1
每排,1
座椅,3
后方,1
配有,1
充电,1
插口,1
客舱,1
间距,1
尺寸,1
负责人,3
先期,1
部署,1
总部,1
航程,2
经济,3
效率,1
匹配,2
最优,1
开拓,1
市场,5
积累,1
足够,1
经验,1
调配,1
大兴,1
机场,3
拓展,1
北京,3
枢纽,1
预计,10
年报,2
投入使用,1
后座,1
公里,3
收益,2
另据,1
入列,1
最早,1
上旬,1
锡林浩特,1
投入,2
内蒙古,1
包头,1
乌兰浩特,1
呼和浩特,1
地区,4
后客,1
效益,2
并重,2
我国,4
首次,1
国际标准,1
自行,1
研制,1
自主,1
知识产权,1
新型,1
涡扇,1
中西部,1
北部,1
起降,1
航路,1
越障,1
目标,3
营运,1
高温,1
高原,5
性能,2
抗侧,1
渐入佳境,1
密集,1
第二条,1
生产线,2
从部,1
装到,1
总装,1
生产,2
环节,1
打通,1
航及,1
正是,1
诞生,1
全年,1
刚刚,1
天骄,2
一架,2
截至,1
累计,1
华北,1
东北,1
西南,1
开通,2
通航,1
城市,2
运送,2
旅客,7
万人次,1
日子,2
当天,4
下午,1
董事长,1
汤劲,2
告诉,1
航空安全,1
近万,1
小时,2
万余,1
哈尔滨,1
岳阳,1
泉州,1
威海,1
银川,1
建立,1
国内航线,1
平均,1
客座率,1
最初,1
提升,1
地飞,1
飞出,1
标杆,1
示范,1
奋进,1
为此,1
制定,3
八项,3
指标,3
措施,3
事故,1
征候,1
万时率,1
故障,1
千时率,1
利用率,1
成本,1
培训,1
维修,1
航材,1
营销,1
各个方面,1
降本增效,1
制造商,1
近年来,1
推进,1
机型,1
优化,3
去年,1
取证,1
到访,1
云南,1
演示,1
展示,1
探索,1
西南地区,1
快线,1
海量,1
资讯,1
精准,1
解读,1
陈志杰近日,1
澳大利亚,5
第二,2
维珍,14
收购,5
消息,2
这是,1
新冠,5
悲惨,1
影响,5
澳洲,3
受新冠,2
持续,2
蔓延,1
多国,1
实行,1
旅行,3
禁令,1
导致,1
出行,5
锐减,1
一季度,2
航空业,9
陷入,1
巨额,3
亏损,10
大面积,1
停工,1
常态,1
裁员,3
不少,1
发债,4
融资,2
缓解,1
流通性,1
危机,2
申请,1
政府,5
救助,4
股神,2
巴菲特,9
态度,2
反转,1
月底,3
加仓,1
快速,1
切换,1
清仓,2
预测,4
美国,7
渡过难关,1
这一,3
预言,1
