word,count
年月日,2
消息,1
飞常准,1
数据,9
全球,5
航司,12
航班,14
班次,3
下降,3
中国,24
国内,4
执飞,1
减少,7
环比,1
提升,1
家航司,2
增长,3
准点,16
平均,4
率达,1
十大,4
客运,6
排名,4
山东,4
航空,28
连续,2
蝉联,5
冠军,3
大中型,1
航空公司,9
全日空,2
大型,2
三连冠,2
榜单,3
到达,3
延误,2
时长,2
分钟,2
日本,1
荷兰,1
皇家,1
列位,2
上榜,3
相比,3
去年同期,3
德国,2
汉莎航空,1
最多为,2
本期,4
中型,1
飞马,1
再次,1
位列,1
首位,3
西班牙,1
国家,1
意大利,1
巴西,1
蓝色,1
大陆,5
四川,2
恢复,3
程度,2
态势,1
减缓,1
依次,1
东方航空,1
南方航空,4
国际航空,1
调减,2
最少,1
值得注意,2
春秋航空,3
多月,1
有家,2
龙江,1
长龙,1
奥凯,1
西藏,1
九元,1
瑞丽,1
河北,1
昆明,1
联合航空,1
成都,1
青岛,1
新华,2
江西,1
乌鲁木齐,2
最多逾成,1
机会中国民航,1
韩磊,1
通讯员,1
王宇戈,1
报道,7
民用,1
航空局,1
正式,3
认定,3
航信航,1
易行,5
平台,11
中国民航,2
行李,30
流程,11
跟踪,9
系统,7
公共信息,1
授牌,3
仪式,3
建设,8
落实,1
党中央,1
国务院,1
指示,1
批示,1
体现,1
民航,6
强国,1
组成部分,1
真情,1
服务,5
智慧,1
一项,1
工程,1
举办,2
标志,2
串线,1
成网,1
阶段,1
后续,1
千万级,2
机场,8
跟踪服务,5
打下,1
坚实,1
基础,1
航信,4
率先,1
全国,1
推出,2
基于,1
联网,2
互联网,1
技术,1
产品,4
数据交换,2
中心,1
多种形式,1
服务平台,1
管控,1
涵盖,1
旅客,10
出行,2
业务,9
支持,3
后航,1
免费,1
行业,5
基础性,1
公益性,1
监管,2
传输数据,1
接受,3
政府,1
监督,1
地面,1
服务部,1
负责人,5
分享,1
南航,6
实践经验,1
试点,4
航线,5
参建,2
单位,3
大兴,6
广州白云机场,1
协作,2
成功,2
北京,5
广州,3
白云,1
状态,1
查询,2
详细,1
介绍,1
情况,1
采集,1
展示,1
对接,2
工作,3
成果,1
民航局,2
统筹安排,1
全程,1
参与,1
存储技术,1
规范,1
各项,1
方案,1
编写,1
制定,1
统一标准,1
构建,1
全网,1
建立,1
集合,1
交运,1
安检,2
运输,1
装机,2
多个,1
节点,2
标准,1
信息,1
首都国际机场,1
发布会,1
面向,1
公众,1
方与,1
国航,2
首都,1
重庆,1
东航,2
上海,1
虹桥,1
深圳,1
三线,1
六点,1
值机,1
分拣,1
装车,1
六个,1
托运,1
截至,1
十余家,1
接入,2
海外,6
十家,1
授权,1
香港机场,1
澳洲,1
交互,1
展开,1
合作,1
未来,1
日常,1
机会今日,1
直播,1
海富通,1
基金,6
黄峰,1
消费,1
