word,count
人工智能,1
区块,1
链云,1
量子,1
计算,1
大众,1
市场,3
一堆,1
技术,4
名词,1
轰炸,1
互联网,2
公司,14
估计,1
追热词,1
追地,1
满头大汗,1
不让,1
后浪,1
沙滩,1
保命,1
活儿,1
为此,1
信用,14
牢牢,1
抓住,1
机遇,1
开辟,1
出航,1
数字化,7
消费,9
服务,7
建立,2
自有,1
场景,5
延伸,1
赛道,1
开启,1
道路,1
习惯,2
创新性,1
提出,1
空中,1
钱包,1
概念,1
推出,1
航旅,3
业务,5
变现,1
打造,2
一站式,1
数字,5
科技,11
服务平台,1
缓解,1
出行,1
压力,1
深耕,1
之久,1
行业,2
树立,1
知名度,1
声誉,1
创新,1
加码,1
投入,1
充分发挥,1
优势,2
积极探索,2
用户,6
消费行为,1
特征,1
持续,1
迭代,1
系统,1
享受,1
智能,1
便捷,1
这一,1
领域,1
领先者,1
赋能,1
航空,4
产业,2
完善,1
风控,1
体系,2
数据,1
基础,1
优质,1
建设,2
布局,1
留下,1
充足,1
空间,1
智慧,1
营销,1
未来,2
发力,1
方向,1
切入,1
多家,2
航司,3
达成,1
独家,1
合作,2
壁垒,1
接入,1
收银台,1
创造,1
流量,1
入口,1
以此,1
圈定,1
目标,1
获客,1
高效,1
精准,2
合作伙伴,2
众多,1
东方航空,1
中国,2
国际航空,1
吉祥航空,2
首都,1
平台,1
飞来,1
即时,1
授信,1
先飞,1
后付,1
飞航,1
繁琐,1
步骤,1
无需,1
提前,1
注册,2
极简,1
产品,1
操作,1
灵活,1
服务质量,1
超好,1
飞将,1
连接,1
价值,1
致力于,1
助力,1
生态圈,1
开拓,1
开放,1
边界,1
机会炒股,1
金麒麟,1
分析师,1
研报,1
权威,1
专业,1
助您,1
挖掘潜力,1
主题,1
机会,1
卓胜微,4
股东,9
天津,2
浔渡,2
宁波,2
联利拟,1
大手笔,1
减持,10
股价,3
一年,2
涨幅,2
超倍,1
晚间,1
公告,1
持股,6
简称,1
计划,4
内拟,1
竞价,1
大宗,1
交易,3
协议,5
转让,2
股份,21
合计,6
超过,5
万股,2
股本,1
联利,1
年报,1
主营业务,1
集成电路,1
业占营,1
比例,2
盘面,1
上卓胜,1
微于,1
年月日,2
创业板,4
上市,3
时间,1
高达倍,1
解禁,1
期为,1
截至,1
收盘,1
收涨,1
报元,1
股为,1
第一,1
高价股,1
事项,3
证监会,3
核发,1
批文,1
厦门,1
建霖,1
健康,2
家居,2
有限公司,6
温州市,1
冠盛,1
汽车,1
零部件,1
集团股份,1
江苏,1
图南,1
合金,1
南京,1
科思,1
化学,1
杭州,2
申昊,1
科技股份,1
内幕,2
股票,1
作出,2
行政处罚,4
罚没款,1
亿余元,1
獐子,2
维权,3
收到,2
决定书,2
禁入,2
合纵,1
解除,1
实控,3
发生,3
变更,3
开元,1
或致,1
控制权,1
园林,1
签署,3
重组,2
融资,2
汤臣,1
拟定,1
增募,1
资不超,1
亿元,14
美晨,1
生态,2
公开,2
发行,4
不超,9
公司债券,4
美力,1
拟向,2
特定,2
对象,2
转换,2
普利,1
制药,2
城建,1
发展,1
面值,1
总额,1
申请,2
获批,1
益丰,1
药房,1
拟用,1
可转,1
债券,1
闲置,1
募集,1
资金,3
暂补,1
流动资金,1
资环,1
终止,1
投资,4
经营,1
沃施,1
收购,1
中海,1
沃邦,1
股权,1
天海,1
防务,1
重整,2
低于,1
科伦,2
药业,2
分拆,2
所属,1
子公司,5
伊犁,1
川宁,2
生物,6
金城,1
医药,2
慧泽,1
战略,2
缔结,1
长期,1
层面,1
关系,2
深交所,1
复星,1
控股,2
药品,1
临床试验,1
受理,1
益佰,1
贵州,1
药监局,1
同意,1
白芍,1
配方,1
颗粒,1
品种,1
临床,1
研究,1
爱建,1
集团,1
华瑞,1
租赁,2
发动机,1
鲁北,1
化工,1
万元,7
盐酸,1
净化,1
制备,1
磷酸,1
磷酸盐,1
中试,1
装置,1
项目,4
绿色,1
动力,1
联合,2
中标,2
惠阳区,1
污泥,1
餐厨,1
垃圾,1
粪便,1
无害化,1
招商,1
轮船,1
下属,1
接收,1
载重,1
万吨,1
超大型,1
矿砂,1
江化微,1
银行,1
签订,2
借款,1
合同,2
用于,1
购买,1
剥离,1
汇嘉,1
时代,1
全资,1
人防,1
工程建设,1
生鲜,1
加工,1
配送,1
中心,1
健友,1
米力农,1
注射液,1
纳入,1
优先,1
审评,1
程序,1
天域,1
雄安,1
新区,1
秦安,1
期货,1
六天,1
收益,1
净利润,2
天成,1
自控,1
亏损,1
下降,1
海默,1
上半年,1
预亏,1
增持,2
顾家,1
百年,1
人寿,1
受让,1
辰光,1
神州,1
通拟,1
三诺,1
实控人,1
李少,1
波拟,1
超频,1
陆家嘴,1
高管,2
核心,1
团队,1
成员,1
音飞,1
储存,1
回购,1
董事长,1
证代,1
辞职,1
富控,1
责任人,1
措施,1
银高科,1
农业部,1
转基因,1
新品种,1
培育,1
专项,1
年度,1
课题,1
政府,1
补助,1
中青旅,1
乌镇,1
旅游,1
财政补贴,1
国投,2
资本,1
澄清,2
泰康,1
信托,2
传闻,1
提及,1
通道,1
承担,1
担保责任,1
国药,1
疫苗,1
标准,1
环保部门,1
石英,1
第二期,1
员工,1
筹资,1
上限,1
红宇,1
新材拟,1
更名,1
为华民,1
海量,1
资讯,1
解读,1
陈志杰,1
