word,count
一段时间,2
谈论,1
最多,1
旅游业,5
餐饮业,1
企业,10
本来,1
靠着,1
春节,5
赚点,1
眼下,1
盈利,2
亏本,2
农历,1
新年,1
中国,5
供应链,1
餐厅,1
酒店,4
景区,4
航空,2
机场,2
服务者,1
豆妈,6
一位,1
职业,1
导游,1
往年,1
过年,2
不可开交,1
期间,1
在家,1
记录,1
难得,1
闲暇,1
时间,2
孩子,1
父母,1
问及,1
原因,1
无奈,1
疫情,24
冲击,5
整体,1
波及,1
旅行社,6
处在,2
失业,2
状态,2
遭遇,1
暂停营业,2
短期内,1
出租率,1
大幅,4
下滑,1
关闭,2
创造,1
收入,2
结束,1
马上,1
迎来,1
客流,1
反弹,1
感觉,1
发慌,1
从豆,1
妈面,1
无表情,1
陈述,1
急切,1
心情,1
迫不得已,1
矛盾,1
交织,1
取消,3
旅游团,1
放空,1
飞机,2
境外,3
旅游,12
包机,1
游客,2
飞回去,1
城市,1
架飞机,1
航线,1
无可奈何,1
心酸,1
环境,1
敏感,2
产业,1
表现,6
非常容易,1
遭受,1
境内外,1
突发事件,1
影响,13
导致,1
衰退,1
滑坡,1
危机,1
情况,1
团队,1
全停,1
定好,1
团期,1
全都,1
顾客,1
机构,3
退钱,1
咋办,1
世界,2
各国,1
陆续,1
入境,1
才能,1
恢复正常,1
急需,1
答案,1
航空公司,3
表示同意,1
延后,1
机票,1
改签,1
超过,3
半数,2
全球,1
地接,1
沟通,1
回复,1
事实上,1
蔓延,1
社会各界,1
生存,1
状况,1
从未,1
中断,1
新型,2
冠状病毒,2
武汉,1
广泛传播,1
休闲,2
服务,2
板块,4
连续,1
两日,1
大跌,1
跌幅,2
两市,1
最差,1
出行,1
交运,2
萎靡,1
势头,1
复盘,1
行业,10
最为,1
事件,3
出游,2
意愿,2
骤降,2
带来,1
国内,2
客流量,1
断崖,1
下跌,3
山西,1
证券,1
研报,1
亏损,1
歇业,1
饭店,1
营业,1
重创,1
停业,1
股票,2
市值,1
餐饮,5
从业人员,1
工资福利,1
缩减,1
业绩,2
最低值,1
爆发,2
两个,1
季度,1
持续时间,1
滞后性,1
消费者,1
较难,1
在短期内,1
恢复,1
出境游,1
经历,1
低迷,1
程度,1
取决于,1
控制,1
速度,1
管控,1
措施,2
通报,1
本次,1
新冠,2
国际,2
突发,1
公共卫生,1
多家,1
此前,1
减少,2
坚挺,1
来往,1
大陆,1
航班,1
美联航,1
加拿大,1
英国航空,1
德国,1
汉莎,1
预计,2
国际航班,1
暂停,1
消费,4
主体,1
免税,3
零售,4
中免,1
集团,1
已于,1
旗下,1
三亚,1
海南,1
海口,1
日月,1
广场,1
免税店,2
琼海,1
博鳌,1
离岛,1
受到冲击,1
令人,1
是从,1
至今,1
申万,1
指数,1
累计,1
中泰,1
研究所,1
短期,2
谨慎,1
态度,1
举国上下,1
共克,1
时艰,1
人口,2
大规模,2
流动,2
聚集,2
居家,1
隔离,2
企事业,1
单位,1
延长,1
春节假期,1
防控,5
恒大,2
研究院,2
首席,1
经济学家,1
任泽平,1
打断,1
经济,5
年底,1
企稳,1
下行,1
压力,1
较大,5
背景,1
下破,1
概率,1
一季度,3
此次,1
表达,1
观点,1
宏观,1
层面,2
来看,1
需求,3
生产,1
投资,1
出口,1
降低,2
工人,1
返城,1
工厂,1
复工,1
延迟,1
停工,1
减产,1
制造业,3
房地产,1
基建投资,1
停滞,1
中观,1
电影,1
教育,1
培训,1
票房,1
亿年,1
颗粒无收,1
除夕,1
正月初,1
全国,1
餐饮企业,1
同期,1
受损,1
简单,1
估算,1
电影票房,1
市场预测,1
假设,1
腰斩,1
市场,3
冻结,1
短短,1
天仅,1
三个,1
经济损失,1
万亿,1
国家,2
金融,5
发展,2
实验室,1
特聘,1
研究员,1
董希淼,2
我国,2
增长,1
将会,1
叠加,1
因素,1
增速,2
放缓,1
百分点,1
下午,1
人民银行,1
财政部,1
保监会,1
证监会,1
外汇局,1
部门,1
联合,1
印发,1
进一步,2
强化,1
支持,3
感染,1
肺炎,1
通知,4
简称,1
发生,1
借贷,1
分类,1
处置,1
地区,2
差异化,1
优惠,1
金融服务,2
对受,2
批发,1
住宿,2
物流,1
运输,1
文化,1
发展前景,1
暂遇,1
困难,2
特别,3
小微,2
盲目,1
抽贷断,1
贷压,1
贷对,1
到期,1
还款,1
予以,1
展期,1
或续,1
下调,1
贷款,2
利率,1
增加,2
信用贷款,1
长期贷款,2
战胜,1
灾害,1
政府,1
融资,4
担保,6
反担保,1
担保费,2
基金,1
减半,1
收取,1
系统,1
民营企业,1
重点,1
领域,1
信贷,1
切实落实,1
综合,1
成本,1
压降,1
投放,1
坦言,1
精准,1
针对性,1
补贴,1
减免税,1
放宽,1
市场准入,1
简政放权,1
一系列,1
举措,2
深化,1
供给,1
结构性,1
改革,1
激发,1
市场需求,1
活力,1
增强,1
内生,1
动力,1
隔行如隔山,1
短时期,1
受益,1
感叹,1
期盼,1
春暖花开,1
平安,1
我会,1
看遍,1
美景,1
孟俊莲,1
主编,1
冉学东,1
机会,1
