word,count
抗疫,1
之战,1
打响,1
旅游,15
行业,50
第一批,1
速冻,2
旅业,1
组成部分,1
航空业,5
数据,5
来看,1
快速,11
模式,1
海量,1
退票,17
天量,2
退款,17
时临,1
春节,7
回家,1
探亲,1
国内外,2
用户,9
两大,1
客流,1
全国,1
春运,1
最高峰,1
铁路,1
公路,1
航空,14
水运,1
出行,2
亿人次,1
钟南山,1
消息,1
伴随,2
售票,5
下滑,1
数量,5
接近,4
当日,3
腊月,1
二十九,1
武汉,2
封城,1
第一次,1
高峰,1
这天,1
各大,2
平台,13
累计,1
万张,2
来源,1
民航局,2
新闻,1
发布会,2
粗略,1
估计,1
至少,2
亿之多,1
中国,5
副局长,1
健在,1
国务院新闻办,1
透露,1
航空公司,36
办理,1
免费,3
涉及,2
票面,1
总金额,1
超过,1
亿元,4
携程,3
披露,2
期间,4
高达,1
压力,14
增大,2
服务,12
人员,2
长时间,1
加班,2
繁杂,1
手续,1
航司,17
周期,7
留下,1
很大,3
隐患,2
低价,1
低量,1
恢复,3
缓慢,1
潮下,1
客座率,1
相当于,3
去年同期,1
近一半,1
一周,2
上座率,2
仅为,1
隔座,2
影响,3
很多,8
机票,16
几十元,1
条件,5
月份,2
白菜价,1
销售,3
选择,3
取消,2
航班,5
近乎,1
归零,1
全球,10
旅游业,3
自然,4
不可避免,2
收到,1
冲击,4
状况,2
国内航线,1
并未,1
完全恢复,1
国际,5
航线,1
下图,1
国内,8
比率,1
资本,2
市场,9
重灾区,1
疫情,17
极其,1
中国国航,1
日元,2
跌倒,1
跌幅,1
东方航空,1
下跌,6
巴菲特,1
万美元,1
入股,1
达美航空,2
拯救,1
不了,1
美的,1
股价,2
至今,1
远超,1
平均水平,1
在线,2
网站,1
同期,1
道琼斯,1
指数,1
价格,6
公司,5
市盈率,1
或许,4
价值,1
投资,1
角度,2
机会,2
只不过,1
等待,1
回弹,1
时间,5
前提,1
迈过,1
千亿美元,2
天坑,2
干涸,3
现金流,17
突来,1
票务,6
航旅,4
整体,5
骤然,1
枯竭,2
一方,1
拼命,1
地想,1
地盘,1
上多蓄,1
水先,1
活下去,1
利润率,8
低成本,1
亏损,4
看似,1
风光,1
个个,1
财大气粗,1
实际上,4
整理,1
航协年,1
统计,1
平均,2
数字,1
净利润率,2
升至,1
每位,1
旅客,2
身上,2
平均利润,1
美元,1
距离,2
背负,2
成本,12
却是,1
高昂,1
大体,2
中有,1
燃油,1
空乘,1
飞机,7
维修,1
租赁,2
折旧,1
营销,1
行政,1
通讯,1
导航,1
费用,2
一架,1
空中,1
小时,5
大概,1
万左右,1
机型,1
差别,1
上天,1
绝大多数,3
发生,7
空置,1
座位,2
下降,4
带来,5
停飞,1
场地,1
平摊,1
比例,5
提升,3
大大降低,1
规模,7
效应,2
下表中,1
不到,2
利用率,3
看得出来,1
业内,1
专家,1
分析,1
中短程,1
起降,1
中途,1
机场,1
停留,1
占用,2
远程,1
运营,1
执飞,1
有限,2
依然,4
巨亏,1
消耗,1
资金,26
控制,3
缓解,6
延缓,1
支付,3
代理商,7
旅行社,10
延长,5
乘客,2
官网,2
购买,5
从业者,4
亚航,3
廉价,3
改为,1
代金券,4
账户,1
现金,4
此类,1
蔓延到,1
诸多,2
著名,1
国外,6
对外,2
通知,1
用词,1
隐晦,1
实质,1
转为,2
改期,2
公布,1
扩散,1
海外,1
显现,1
地主家,1
余粮,1
国有,1
承担,4
国计民生,2
参与者,7
危难,1
关头,1
跟进,1
出台,2
类似,5
措施,2
体现,1
应有,1
担当,1
社会,2
责任感,1
客观,1
拉长,1
寻求,4
政府,9
救援,1
难以为继,1
经营,1
断裂,4
股票市场,1
融资,1
途径,1
补充,2
亚太,1
中心,1
报告,1
预计,1
得不到,2
救助,4
世界,2
将会,1
倒闭,8
病毒,1
多国,1
旅行,1
禁令,1
技术性,1
破产,7
偿还债务,1
半数,1
执行,1
飞行,1
储备,1
耗尽,1
航空运输,1
协会,2
做出,3
惊心动魄,1
预测,2
亿美元,2
外来,1
支持,4
固定成本,2
经营报,1
报道,1
美国,3
援助,2
贷款,1
月底,3
很少,1
十几年,2
遭遇,2
重组,4
日本,1
印度,1
意大利,1
美国航空,1
意识,1
字头,1
欧洲,3
有家,1
小型,1
多家,1
经营不善,1
资金流,2
原因,2
强大,2
挑战,2
乐观,2
纷纷,1
自救,2
工行,1
四川,2
分行,1
成功,2
发行,3
防控,1
短期,1
融资券,1
春秋航空,1
公开,1
不超,1
公司债,1
扣除,1
用于,1
流动资金,1
偿还,1
计息,1
负债,1
用途,1
流动性,10
不无关系,1
票代,1
竞争,4
升级,1
风险,20
分销,2
采用,3
代理,23
制度,3
经销商,1
消费者,8
签订,1
协议,1
从中,1
提取,1
佣金,1
服务费,1
通行,1
惯例,1
传统,3
操作,1
提交,1
审核,1
系统,1
确认,1
委托,1
退还,1
最终,1
过程,3
机票代理,2
代理人,2
事件,1
原则上,1
发展,1
高度,2
合作,1
标准,1
业务,7
耦合,1
打断,1
情况,8
自愿,1
规则,1
最快,1
速度,3
几日,1
一个月,1
这次,5
更快,1
不高,1
接受,1
两年,1
泰国,1
几家,1
损失,7
一笔,1
局面,1
流程,1
引入,1
提到,1
退回,2
本来,1
本身,2
紧张,2
进一步,5
陡然,1
概率,2
很小,1
不容,2
小觑,2
必将会,1
随之,1
可怕,1
实力,2
限售,1
可怜,1
消耗掉,1
回笼资金,1
不多,1
用来,1
归还,1
解决,2
加剧,1
这部分,2
困境,4
中等,1
进退维谷,1
境地,1
那首歌,1
没错,1
合适,1
酒店,3
预定,3
细分,1
同业,3
协作,3
金融服务,3
网络,12
之间,4
批发,1
临售,1
机构,7
授信,3
欠款,1
账期,2
庞大,4
单点,1
危机,4
蔓延,2
如年,1
英国,2
欧美,1
导致,1
戒备,1
幸而,1
航协,1
介入,1
合作者,1
不少,1
金融,1
收缩,1
缩短,1
降低,5
杠杆,1
恶化,2
实摊际,1
减少,7
敞口,1
某种程度,1
意味着,4
增加,2
外扩散,1
不得而知,1
预想,1
解决办法,1
生态,1
变化,1
中小型,3
企业,4
而百程,1
敲响,1
警钟,1
自我,1
办法,1
回国,5
潮量,1
价齐升,1
综合,1
全局,1
引发,1
票量,2
增长,1
翻倍,1
和量,1
局部,1
需求,1
暴涨,1
处于,3
救命稻草,1
针对,1
归国,1
一票,1
难求,1
参与,3
公务机,1
包机,1
利润,4
补贴,1
