word,count
吉祥航空,2
公布,2
国际航班,4
计划,7
每周,13
执行,6
国际,4
航线,30
共条,1
上海浦东,7
往返,11
芬兰,1
赫尔辛基,1
日本,1
大阪,1
新加坡,1
泰国,5
曼谷,5
相比,1
增加,7
上海,9
此前,1
东航,3
南航,3
国航,2
相继,1
航空,4
共计,3
涉及,5
昆明,2
条较,2
孟加拉国,1
达卡,3
取消,1
南京,1
两班,4
航班,12
民航局,3
调整,4
五个,2
奖励,3
熔断,5
措施,3
航空公司,3
入境,6
核酸,3
检测,2
阳性,3
旅客,3
人数,2
连续,1
周为,1
经营,1
许可,1
暂停,4
公司,2
运行,3
用于,1
结束,1
方可,1
恢复,4
上航,1
一班,4
航司,4
一周,1
不算,1
地区,1
广州,5
沈阳,1
减少,1
中国台北,1
马尼拉,1
单程,1
加德满都,1
日日,1
防疫,1
政策,2
暂未,1
开放,1
销售,1
孟加拉,1
发现,1
新冠,1
病毒,1
随后,1
首个,1
指令,1
自月,1
日起,2
北京,1
分流,1
成都,2
情况,1
保持一致,1
第一,4
变化,1
长沙,1
合肥,1
兰州,1
武汉,1
备用,1
国内,1
外国,1
申请,1
中国,1
新西兰,1
复飞,2
奥克兰,1
美国,2
达美航空,2
西雅图,2
经停,2
首尔,1
仁川,2
机场,2
运营,3
其后,1
底特律,1
另一家,1
美联航,1
维珍,1
汉莎航空,1
法国航空,1
俄罗斯,1
机会,1
