word,count
功能,1
介绍,1
依托,1
国际金融报,1
平台,1
第一,1
时间,1
传递,1
金融,3
资讯,1
解读,1
热点,1
评点,1
趋势,1
世界各地,1
政府,1
旅行,4
消费者,1
遵从,1
警示,1
居家,1
不出,1
形势,1
全球,5
航空业,5
不确定性,1
定论,1
图片,1
来源,1
图虫,1
创意,1
飞机,8
制造商,2
美国波音公司,1
挣扎,2
航空史,1
收缩,1
削减,3
成本,2
公司,5
本周,1
公布,2
西雅图,3
地区,2
工程,2
人员,6
大幅,2
裁员,10
计划,4
规模,3
遭遇,3
个例,1
波音,9
竞争对手,1
空客,1
苦苦,1
小规模,1
航空公司,9
更是,1
需求,2
崩溃,1
窘境,1
近期,2
航空,4
预订,2
小幅,1
复苏,1
研究,7
正试图,1
更好,4
病毒,6
飞行,8
传播,4
形态,3
希望,1
乘客,6
确保,2
口罩,3
过滤,2
机舱,6
空气,3
感染,3
长期,1
低迷,1
消息,1
警告,2
客户,3
生存,2
奋斗,1
约个,1
工作岗位,2
缩减,3
营运,1
最新消息,1
劳工,1
组织,1
通知,2
工会,2
周五,1
发出通知,1
管理人员,1
员工,3
失业,1
据悉,1
预计,2
南加州,1
白领,1
数量,1
减少,5
销售,1
年内,1
恢复,1
水平,2
意义,1
增长,1
波音公司,8
提取,1
一笔,1
亿美元,2
定期,1
贷款,1
发行,1
债券,1
建立,1
现金,1
储备,1
抵御,1
多年,2
动荡,1
纷纷,1
推迟,1
订单,1
交付,1
重新考虑,1
机队,1
配置,1
业务,1
后续,1
还会,1
外媒,1
报道,1
加拿大,1
澳大利亚,1
受困,1
局面,1
难以,1
逆转,1
中旬,1
美国航空,1
营运商,1
前途,1
料会,1
异常,1
坎坷,1
伴随,1
新冠,5
疫情,2
带来,1
客流,1
稀少,1
一家,1
美国,3
大型,1
倒闭,1
厄运,1
几家,1
航空航天,1
内容,1
裁减,2
成千上万,1
筹集,1
资金,1
对手,1
空中巴士,1
产量,1
三分之一,1
斐济,1
高层,1
冲击,1
英国,1
引擎,1
制造,1
大厂,1
劳斯莱斯,2
集团,3
最少,1
地方,1
开支,1
执行长,1
伊斯特,1
发表声明,1
人力,1
将近,1
五分之一,1
声明,1
中说,1
机身,1
伙伴,1
作出,1
调整,2
空中,2
风险,7
业界,1
努力,3
遏制,1
流行,2
空中客车,1
喷气,1
客机,1
内部,2
试图,1
期间,1
开发,1
模拟,1
环境,2
计算机,1
模型,2
这一,1
最终,1
卫生部门,1
监管,1
机构,1
病毒传播,2
决定性,1
信息,2
发言人,1
采取措施,1
潜在,2
空中客车公司,3
国家,1
大学,2
交换,1
工程师,1
探索,1
方法,1
自洁,1
材料,1
效果,1
持续,1
消毒剂,2
厕所,2
接触式,1
设备,1
美国联邦,1
管理局,2
疾病,1
控制,1
预防,1
中心,1
专家,2
密切联系,1
评估,1
减轻,1
华尔街日报,1
援引,1
一位,1
知情,1
人士,1
官员,1
赞助,1
测量,1
渗透,1
燃料,1
蒸气,1
新型,1
冠状病毒,1
尚未,1
正式,1
展开,1
通风,1
系统,1
病原体,2
知之甚少,1
致力于,1
传播方式,1
越来越,2
再次,1
出发,1
变得,1
紧迫,1
几周,1
近乎零,1
美国航空公司,1
增加,2
上周五,1
运输,1
监测,1
全美,1
近万人,1
出行,2
去年同期,1
自月,2
工作,1
学者,1
经费,1
提高,1
健康,1
技术,1
紫外线,2
接触,2
表面,1
抗菌,1
涂层,1
科罗拉多,1
博尔德,1
分校,1
项目,2
兴趣,1
两次,1
之间,1
消毒,1
剂量,1
社交,1
距离,1
斗争,1
挑战性,1
普遍认为,1
更换,1
强力,1
过滤器,1
去除,1
坐在,1
传染性,1
人数,2
配合,1
防疫,1
措施,2
韩国,1
日起,1
强制,1
航线,1
法国航空,1
量体温,1
瑞安航空,1
禁止,1
旅客,1
排队,1
不再,1
供应,1
食物,3
充其量,1
预先,1
包装,1
污染,1
高管,1
降低,1
登机,1
离机,1
程序,1
程度,1
西南航空公司,1
达美航空,1
腾空,1
座位,1
航班,1
西南地区,1
首席,1
执行官,1
加里,1
凯利,1
装置,1
清洁,2
保证,1
袁源,1
