word,count
金融界,1
美股,6
北京,2
时间,6
消息,7
投资者,9
新冠,7
疫情,20
进展,2
美联储,27
纪要,4
结束,5
加息,1
桑德斯,8
退出,5
总统大选,3
市场,25
带来,2
提振美股,1
全线,1
收涨,4
指涨,1
近点,2
标普自,1
低位,2
反弹,7
航空,3
股及,1
石油,6
走高,4
在线教育,1
集体,2
走低,2
瑞幸,1
咖啡,1
停牌,1
未来,8
自爆,1
营收,1
造假,3
收盘,5
跌近,1
截止,1
标普,5
指数,23
上涨,28
涨幅,8
报点,7
纳斯达克,3
道琼斯,2
板块,22
房地产,2
能源,5
通用,1
材料,4
金融,2
医疗,1
工业,3
必需品,2
行业,3
基金,3
科技,2
通讯,1
会议纪要,6
披露,2
官员,3
同意,4
放宽,1
货币政策,5
挽救,1
经济,27
降低,3
失业率,5
利率,7
重启,3
扩表,1
盘中,5
剧烈,1
震荡,2
尾盘,3
收高盘,1
亚洲,1
涨跌互现,1
日本,1
股市,7
稳健,1
冲高,2
全国,1
紧急状态,1
日本央行,1
进一步,6
推出,4
宽松,4
政策,9
刺激,3
增长,5
日经指数,2
超过,3
中国,9
小幅,4
收跌,2
盘前,1
欧洲,6
表现,3
平平,1
反复,2
协商,1
欧盟,2
未能,2
统一,1
财政,5
扶助,1
计划,4
达成协议,1
期指,1
一度,1
回落,4
麦当劳,4
警告,1
公司,5
全球,10
同店,1
销售,3
预计,9
下滑,4
早盘,1
三大,2
高开,1
科技股,2
强势,1
社交,3
媒体,2
类股票,1
推特,2
领跑,1
更大涨,1
高盛,3
带动,1
支撑,1
市场走势,1
短线,2
落后,1
很快,2
突破点,2
整数,1
关口,1
恐慌性,1
波音,1
提振,1
走强,5
窄幅,1
多个,1
洗牌,1
行情,1
苹果,1
消费,1
后劲不足,1
下午,1
正式,1
态度,1
显露,1
无疑,1
美元,15
欧佩克,1
会议,7
传出,1
各国,3
减产,2
万桶,1
油价,1
飙升,2
拉动,1
加速,1
阻力,1
美国,27
疾控,1
部门,2
负责人,2
好转,2
强于,1
预期,5
驱动力,1
周三,8
动用,1
权力,1
打算,1
预见,1
央行,1
冠状病毒,8
影响,6
感到,1
担忧,8
委员,5
在短期内,1
活动,5
压力,1
前景,3
风险,5
发展,3
成员,1
联邦,1
目标,2
区间,1
降至个,1
百分点,2
这一,3
水平,7
斯特,1
会后,1
声明,2
反对票,1
希望,4
给予,1
更大,1
灵活性,2
两周,1
批准,2
紧急,3
降息,4
基点,2
这份,1
文件,2
讨论,1
摘要,1
制定,1
小组,1
短期,4
金融危机,3
期间,4
资产,7
管理,2
巨头,1
莱德,1
基础,1
固定,1
收益,1
主管,2
米勒,2
会议记录,1
不惜一切,1
代价,1
做法,1
事实上,1
零利率,3
实施,3
购买,3
规模,2
最初,1
亿美元,2
这是,3
运转,3
必需,1
负债表,4
万亿美元,3
略低于,1
视为,1
时期,2
量化,1
职责,1
支持,2
制定者,1
确实,1
表达,1
轨迹,1
针对,3
中型企业,1
街道,1
贷款,1
细节,1
美国有线电视新闻网,1
当地,1
报道,1
美国国会,1
参议员,2
民主党,4
总统,6
竞选人,1
当天,1
竞选,1
引发,2
经济危机,1
这条,1
程度,2
缓解,1
华尔街,3
政治,1
大选,2
党内,1
初选,1
仅剩,1
拜登,7
一名,2
参选人,1
特朗普,7
抨击,1
世界卫生组织,1
流行,3
各个方面,1
威胁,1
停止,2
向世卫,1
组织,1
资金,1
公开场合,1
严重性,1
轻描淡写,1
几周,2
辩护,1
财长,3
努钦,1
研究,5
日程表,1
开放,2
宜早,1
不宜,1
迟前,1
主席,2
伯南克,4
减缓,2
扩散,1
措施,7
导致,2
本季度,1
急剧,3
大幅,7
快速,1
复苏,2
不得不,1
再度,1
放慢,1
阶段,1
第二季度,2
折合,1
成年,1
萎缩,1
不愿,1
长达,1
萧条,2
作比,1
一切顺利,1
一两年,1
情况,1
大为,1
称赞,1
货币,3
当局,1
这场,1
危机,2
应对,1
补充,2
还会,2
这位,2
恢复,5
金融市场,2
秩序,1
信贷,1
有所改善,2
怀疑,1
较长时间,1
控制,3
该行,1
寻求,1
通胀率,1
提升,1
劳动力,3
充分就业,1
通胀,4
担心,2
约翰斯,1
霍普金斯大学,1
统计数据,1
截至,1
时分,1
肺炎,3
确诊,3
病例,4
万例,1
共计,1
累计,2
死亡,1
治愈,1
美国全国广播公司,1
数据,8
密苏里州,1
新增,1
全美,1
感染,3
数量,2
分析,2
偏好,1
随之,1
人士,1
期待,1
近期内,1
波动性,1
将会,3
回归,2
平静,1
经济部,1
周二,3
研报,1
断定,1
风平浪静,1
为时尚早,1
公共,1
健康,1
变得,4
更糟,1
月份,7
令人,1
难以,1
接受,2
当月,1
国内,1
生产总值,1
年率,2
会以,1
速度,5
收缩,1
下周,1
零售,1
几个,1
区域,1
报告,2
距离,2
最终,2
取消,2
实践,1
难得,1
一键,1
启动,1
渐渐,1
过程,3
橡树,1
资本,2
联合,1
创始人,2
董事长,1
霍华德,2
马克斯,2
防御,2
进攻,2
遭受,1
损失,1
出色,1
满意,1
寻找,1
便宜,1
股票,3
遗留问题,1
机会,3
谨慎,1
减少,4
过分,1
重视,1
中立,1
立场,1
方向,2
迈进,1
取决于,2
抓住,1
刚刚,1
美国银行,2
衍生品,2
团队,1
近期,2
无限,2
连带,1
前所未有,1
旨在,1
稳定,1
直到现在,1
发挥作用,1
分析师,2
出手,1
