word,count
国家电网,12
剥离,2
房地产,26
业务,15
北京,1
产权,1
交易所,1
披露,4
间接,1
全资,4
子公司,4
四川,13
科锐,4
实业集团,4
有限公司,13
简称,5
转让,13
金沙,11
阳光,8
开发,12
有限责任,3
公司,7
股权,8
债权,3
结束,1
北交所,2
信息,2
成立,1
注册地,1
成都,6
注册资本,1
万元,5
中型,1
房企,1
经营范围,1
建筑,1
装饰业,1
商品,1
批发,1
零售,1
持有,1
财务数据,1
截至,1
上半年,1
营收,1
净亏损,1
资产,3
总计,2
负债,1
据悉,1
该项,1
瑞德,2
管理,2
批准,1
天眼,1
持股,2
追溯,1
依次,1
为国网,2
四川省,1
电力公司,2
旗下,8
三家,1
都江堰,1
西部,3
鹭岛,3
惠能,1
此前,3
作价,1
亿元,5
鲁能,10
集团,17
地产,6
归属,2
何方,1
中央纪委,1
国家,1
监委,1
网站,1
公布,2
第三轮,2
巡视,2
整改,2
进展,3
情况,3
通报,3
坚守,1
电网,1
主责,1
主业,2
下决心,1
退出,8
传统,1
制造业,1
按期,1
深化,1
集体企业,1
改革,1
消息,2
传出,2
这宗,1
山东,2
产权交易,1
中心,1
临沂,4
电力,2
实业,2
桃源,2
底价,1
后者,1
股东,1
山东省,1
平台,2
更是,1
自月,2
退房,7
业内,1
目光,1
聚焦,2
未来,3
重组,2
众说纷纭,1
之下,1
并未,1
做出,1
公开,1
回应,1
在此期间,1
媒体报道,1
概率,1
中国,8
诚通,1
控股集团,1
接手,1
今年年底,1
风电,1
光伏,1
产业,1
新能源,1
分析师,1
跃进,1
点评,1
时间表,2
体现,1
依然,3
既有,1
地块,3
也就是说,1
增量,1
削减,2
存量,1
物业,1
经营,1
保留,1
京报,1
唯一,2
上市公司,1
天津,1
广宇,3
发展,3
股份,1
扩张,1
土储,1
所属,1
宜宾,2
竞得,1
宜宾市,1
叙州区,1
南部,1
新区,1
北区,1
两宗,1
投资,1
设立,1
山水,1
原著,1
置业,1
负责,1
项目,4
建设,1
令下央企,1
纷纷,2
加快步伐,1
国务院,1
国资委,1
出台,1
家不以,1
业的央企,1
市场,4
最为,1
代表性,1
举措,1
中信,1
中海,1
收购,1
中航,2
工业,2
保利,2
近年来,2
央企,3
增多,1
去年,5
中化,1
华侨城集团,1
电建,1
通用,1
技术,1
电子,1
国机,1
企业,1
今年初,1
对非,1
更为,1
加快,1
步伐,1
外月,1
航空,1
中央,1
清理,1
低效,1
房产,1
西南航空,1
转型,1
历经,1
三次,1
挂牌,2
降价,1
重汽,4
国有产权,1
终于,1
等到,1
买家,2
山东省政府,1
新闻办,1
新闻,1
发布会,1
重工,1
板块,1
市场化,1
碧桂园,1
令下,1
时间,2
机会美国,1
各州,3
疫情,6
期间,2
开放,2
关闭,2
措施,6
经济,10
程度,2
影响,3
超过,1
一半,1
全州,1
佩戴,1
口罩,2
减缓,1
传播,1
酒吧,3
餐馆,4
实施,3
宵禁,2
群体,1
人数,3
复苏,4
预期,1
支撑,2
美股,1
持续,4
走高,1
关键,1
二次,1
蔓延,1
放缓,1
忧虑,1
再度,1
回升,3
五个,1
图表,1
行业,3
趋势,1
有助于,1
追踪,1
美国,11
解除限制,2
导航,2
需求,4
苹果,1
工具,1
发出,1
指示,2
步行,3
驾驶,1
方向,2
请求,3
上周,6
相比,3
变化,5
不大较,1
减少,1
驾车,2
月底,1
夏季,2
高点,1
月初,2
回落,1
一部分,1
公共交通,1
引发,1
聚集,1
风险,1
总体而言,2
远远,1
高于,1
水平,4
流行,2
事件,1
绝大部分,1
几周,2
运输,1
停滞不前,2
本周,3
略有,2
增长,3
绝对值,1
来看,1
遭遇,1
打击,1
餐厅,1
预订,2
数据,5
订购,1
开业,1
关门,1
不确定性,2
多个,1
颁布,2
法令,1
团体,1
旨在,1
阻止,1
地方,2
大型,1
集会,1
一级,1
发生变化,1
波动,1
一周,3
同期相比,2
总体,3
下降,4
酒店,4
入住率,4
全球,1
研究,1
中旬,1
小幅,1
房间,1
每日,1
平均,1
费用,1
弗吉尼亚州,1
诺福克,1
弗吉尼亚,1
海滩,1
旅游,1
客运量,2
城市,1
底特律,1
飙升,2
航空业,3
交通安全,1
管理局,1
机场,1
安检,1
乘客,1
数量,1
安全检查,1
航空公司,2
业绩,1
美国航空公司,1
西南航空公司,1
首席,1
执行长,1
疫苗,1
上市,1
感染率,1
旅行,1
促使,1
航班,1
供应,1
购房,1
抵押,3
贷款,3
银行家,1
协会,1
购买,1
住房,1
申请,1
增加,2
在此之前,1
潜在,1
就业,1
状况,1
总额,1
值得一提的是,1
月份,1
新建,1
住宅,1
销量,1
激增,1
背后,1
原因,1
美联储,3
巨量,1
宽松,3
推动,1
借贷,1
提高,1
关键因素,1
各国,1
针对性,1
迹象,1
餐饮,1
住宿,1
依旧,1
低迷,1
压力,1
解除,1
居民,1
出游,1
活动,1
暗示,1
糟糕,1
时刻,1
应对,1
带动,1
房屋贷款,1
带来,2
动力,1
基于,1
一段时间,1
进一步,1
消化,1
机会,1
