word,count
神译局,1
旗下,2
编译,2
团队,2
科技,2
商业,2
职场,2
生活,2
领域,2
重点,2
介绍,2
国外,2
技术,2
观点,2
新风,2
编者按,2
削减,14
运力,10
裁员,4
飞机,26
提前,6
退役,6
延迟,4
交付,6
新机,2
世界各地,2
航空公司,100
尽其所能,2
运营,12
公司,12
来说,10
不足以,2
挽回,2
颓势,2
航空业,24
究竟,2
遭受,6
多大,2
打击,6
估计,2
一点,2
此次,2
流行,30
以往,2
危机,14
复苏,12
依然,2
有望,2
取决于,8
本文,2
发表,2
作者,2
原文,2
标题,2
美国,22
恐怖袭击,2
导致,8
蒙受,2
损失,10
经济衰退,2
行业,10
专家,4
预测,4
新型,24
冠状病毒,24
一步步,2
开端,2
中国,6
武汉,2
爆发,2
重创,2
跨国,2
航班,34
票价,2
低到,2
美元,2
国有,4
政府,10
资金,2
救助金,2
疫情,6
带来,8
更强,2
适应能力,2
证明,2
随后,4
几周,4
扩散,4
亚洲,18
西方,8
不怎么,2
担忧,2
市场,12
利润,8
大头,2
大幅,6
航线,46
足以,2
应对,2
非政府,2
极力,2
希望,2
确实,4
美好愿望,2
月初,2
欧洲,26
北美,4
一个个,2
接踵而至,2
堆积如山,2
国家,4
颁布,6
旅游,12
禁令,6
封城令,2
前所未有,2
速度,6
萎缩,2
美国市场,2
下跌,4
唯一,2
国内,10
旅行,14
之间,6
禁止,2
美欧,2
许许多多,2
没人,2
机票,2
作何,2
没过多久,2
激烈,2
措施,2
截至,2
减少,8
预计,4
减幅,2
还会,4
进一步,2
足够,4
被迫,2
停飞,8
失业,4
在家,2
达美航空公司,2
架飞机,6
达美,2
总共,2
需求,16
美国航空,2
荷兰,2
皇家,2
航空,14
维珍,2
制造商,12
收到,2
请求,6
肯定,2
地说,2
近期,2
面对,4
命运,4
无限期,2
暂停,6
业务,2
大规模,2
想见,2
结束,2
重返,2
工作岗位,2
情况,16
第一,2
选择,6
盈利,6
能力,6
最强,2
砍掉,2
最差,2
分析,4
实施,2
取消,16
飞往,12
地区,2
毕竟,2
第一个,4
提到,2
美国航空公司,14
里程,4
很长,2
最长,2
中有,2
目的地,2
一般来说,2
越长,2
消耗,2
燃料,6
起飞,2
重量,2
下能,2
承载,2
乘客,2
越少,2
意味着,2
较长,2
在经济上,2
低效,2
最先,2
澳大利亚,2
很快,2
是因为,2
加上,6
过长,2
成本,4
消失,4
最初,2
叫停,2
至此,2
剩下,10
国内航线,2
加拿大,2
中美洲,2
南美洲,2
运行,4
国际,14
几近,2
最终,4
逃不脱,2
网只,2
空壳,2
仅余,2
几条,2
数量,2
大大减少,2
最能,2
现状,2
国际航班,4
网络,10
达拉斯,4
东京,2
伦敦,4
迈阿密,2
三个,2
全球,4
客运量,2
拥有,6
一支,2
由近,2
长途,4
组但,2
事实,2
处于,2
危险,2
当中,2
影响,16
程度,4
并不相同,2
困难,4
时期,2
生存,2
倒下,2
英国,2
廉价,4
饱受,4
财务,4
困扰,4
破产,6
风险,2
人士,2
指出,2
苦苦,2
挣扎,2
挪威,4
一家,4
倒闭,2
这家,4
专注,6
大西洋,2
质量,4
采购,2
波音,18
梦想,2
引擎,2
使该,2
巨额,4
债务,4
解雇,2
员工,10
可不是,2
兆头,2
结构,2
财务状况,4
多样性,4
服务,4
重视,2
有助于,2
幸存,4
现金流,4
做好,2
期间,2
计划,10
背上,2
安然,2
度过难关,2
