word,count
近日,1
亚翔,1
传媒,1
亚太地区,2
公务机,11
机队,7
报告,2
金鹿,10
公务,17
北京,2
上海,2
香港,2
架以,1
总数,1
领先,2
第二名,1
领跑,1
亚太,3
图片,1
来源于,1
自年,1
起金鹿,1
公司,5
亚洲,1
一哥,1
一度,1
运营,1
近架,1
市场,2
环境,1
变化,1
庞大,1
自有,2
不再,1
发展,2
五年,1
踏上,1
资产,1
转型,1
持续,2
优化,1
结构,1
大幅,2
降低,2
飞机,7
比例,1
吸引,1
托管,5
降低成本,2
提高效益,1
如今,1
超过,1
不乏,1
湾流,2
达索,1
猎鹰,1
国际,2
最新,2
机型,4
而金鹿,1
很多,1
购买,1
先进,2
客户,8
首选,1
隶属,1
海航,1
集团,1
中国,7
第一家,1
实力,1
斐然,1
管理,2
上金鹿,4
第一个,1
国际标准,1
铂金,1
认证,1
拥有,3
最为,1
管理体系,1
创造,1
高水平,1
飞行员,1
训练,1
体系,1
造就,1
小时,2
飞行,4
记录,1
运行,1
通信,1
导航,1
监视,1
一向,1
采用,1
技术,2
具备,3
世界领先,1
航班,3
计划,1
申请,2
能力,4
国内,1
最先,1
使用者,1
唯一,2
执飞,2
稻城,1
亚丁,1
林芝,1
高原,2
机场,1
成功,1
南极,2
商业,1
首飞,1
服务,8
一家,1
七星,2
万里,1
挑一,1
选人,1
标准,1
服务体系,1
打造,1
高素质,1
队伍,1
细致入微,1
极致,1
维修,7
执照,1
工程,1
人员,1
逾百人,1
资质,2
覆盖,1
霍尼韦尔,1
授权,4
服务中心,3
柯林斯,1
宇航,1
部件,1
厂商,1
分布,1
深圳,1
水准,1
专业,1
维护,1
除此以外,1
网络,1
地面,1
团队,1
涵盖,1
交易,1
包机,1
全方位,1
提升,2
主导,1
思路,1
推动,2
内部,1
变革,1
初见成效,1
年度,1
行业,1
整体,2
下降,1
情况,1
下金鹿,1
执行,1
架次,1
同比增加,1
时间,1
增长,1
满意度,2
面对,1
新冠,1
病毒,1
带来,1
挑战,1
抗疫,1
需求,1
出发,1
民航局,1
增加,1
定检,1
不必,1
承受,1
国外,1
远程,1
调机,1
机位,1
等待,1
之苦,1
负责人,1
航空,1
经受,1
前所未有,1
考验,1
竞争,1
加剧,1
最终,1
比拼,1
企业,1
整体实力,1
客户服务,1
成本,1
感受,1
更为,1
优质,1
强大,1
疫情,2
新型,1
肺炎,1
机会,1
