word,count
中国,1
经济,9
周刊,1
特约,1
撰稿人,1
陈九霖,1
魔幻,1
般的,1
接近,1
尾声,1
素有,1
股神,3
之称,1
沃伦,1
巴菲特,29
不再,1
上半年,1
媒体,1
淡出,1
视野,1
细心,1
投资,11
可谓,1
一改,1
往常,1
作风,1
做出,1
很多,2
大跌眼镜,1
操作,1
大众,2
眼中,1
视为,1
美国,28
数一数二,1
价值,1
投资者,3
印象,1
一名,1
出色,1
宏观经济,1
大师,1
财富,2
杂志,2
发表文章,2
互联网,2
泡沫,1
给予,1
提醒,1
发生,1
冬天,1
金融危机,2
市场,3
股市,1
金融业,1
丧失,1
信心,1
极度,1
恐慌,3
选择,4
大幅,4
增持,2
银行,6
美国股市,2
开启,1
长达,1
长牛,1
时代,1
年月日,3
截至,2
新冠,2
肺炎,2
疫情,8
爆发,1
月底,1
标准,2
普尔,2
指数,3
累计,3
道琼斯,1
工业,2
上涨,1
纳斯达克,1
涨幅,1
程度,2
来说,1
投资选择,2
风向标,1
晴雨表,1
动荡不安,1
即将,1
结束,1
之际,2
或许,1
未来,7
走势,1
一季度,1
大跌,1
巴菲,1
奉行,1
原则,1
别人,2
贪婪,2
逆向,1
影响,3
比较严重,1
航空公司,3
石油,5
公司,11
股票,5
整体,2
防控,1
不利,1
马上,1
改变,2
逻辑,2
航空,3
割肉,1
四大,1
美国航空,1
达美航空,1
西南航空,1
美国联合航空,1
伯克,3
希尔,4
哈撒韦,4
于今,1
股东大会,2
航空业,4
挑战性,1
困难,3
行业,4
情况,4
之下,1
告知,1
飞行,1
旅行,1
业务,1
到底,1
发展,2
趋势,1
不得而知,1
事实证明,1
失控,1
前所未有,1
打击,2
国际,1
航空运输,2
协会,2
数据,2
全球,5
客运,1
收入,1
减少,1
亿美元,3
下降,2
衰减,1
更是,2
前所未见,1
尼古拉斯,1
卡利,1
美国航空公司,1
旅客,1
预订,1
机票,1
数量,2
购买,3
能源,18
英里,1
天然气,3
运输,2
管道,2
立方英尺,1
储存,2
空间,2
想要,1
构建,1
产业,3
年伯克,1
发起,1
电力公司,1
收购计划,1
追逐,1
导致,3
价格,2
过高,1
追风,1
经历,2
增产,1
双重,1
企业,10
命运,1
不像,1
那种,1
悲观,1
预期,1
铁路,5
两大,1
传统,6
两个,3
资金,1
对抗,1
通胀,3
如今,1
手握着,1
石油勘探,1
开采权,1
上游,1
资产,7
西方,1
右手,1
握有,1
中游,1
帝国,1
框架,1
浮出,1
水面,1
单单,1
作出,1
意想不到,1
证监会,1
公布,2
最新,2
文件,1
二季度,1
买入,1
黄金,9
矿业,1
巴里,1
万股,1
抛弃,2
持有,2
金融,2
类股票,1
高盛,1
摩根,1
令人,1
玩味,1
回报率,2
相差,1
远远,1
高于,1
奉劝,1
炒金,1
炒股,1
此时此刻,1
杀入,1
领域,3
做法,3
预示,1
转型,1
看法,3
低利率,3
指出,1
变量,2
利率,7
获利,2
好比,1
地心引力,1
物体,1
越高,1
回报,1
带来,3
封城,1
一系列,1
举措,1
死亡,1
央视,1
财经报道,1
情报统计,1
申请,4
破产,4
大规模,1
达家,1
超过,1
可比,1
时期,2
当中,1
消费,2
大头,1
美国商务部,1
第二季度,1
经济总量,1
个人消费,1
支出,2
降幅,1
服务,1
因受,1
冲击,1
重挫,1
之中,1
餐饮行业,1
上将,1
损失,1
折合,1
人民币,1
万亿元,1
美联储,1
正轨,1
抛出,1
激进,1
政策,3
更大,1
量化,2
宽松,2
当地,1
时间,1
历史,1
高端,1
连锁,1
百货商店,1
内曼,1
马库斯,1
提交,1
保护,1
后果,1
长期,3
利率政策,1
美元,3
贬值,1
货币,1
供应量,1
增加,1
原先,2
国债,1
廉价,1
海外,1
国家,3
摧毁,1
世界,2
首当其冲,1
模式,1
下当,1
央行,1
利息,4
借贷,1
存款,1
之间,1
放贷,1
杠杆,2
盈利,1
由正,1
负时,1
遏制,1
下上,1
意愿,1
增加收入,1
转向,1
发行,1
衍生品,1
高风险,1
手段,1
应对,1
随时,1
到来,1
危机,1
遭遇,2
年末,1
期间,1
通货膨胀,2
年致,1
股东,1
信中,1
给出,1
答案,1
两类,2
存活,1
一类,1
是因为,1
刚需,1
轻易,1
抬高,1
另一类,1
现金流,2
不论是,1
所说,1
符合,1
性质,1
恶性,1
背景,1
无疑,1
保值,1
增值,1
优质,1
金融股,1
背后,1
暗示,1
发展趋势,1
较长,1
低速,1
运行,1
两点,2
基于,1
运作,1
分析,1
看好,1
短期内,1
挫折,1
萎缩,1
长远,1
来看,1
忽视,1
一是,1
修复,1
能力,1
极强,2
二是,1
创新,1
活力,1
克服,1
当下,1
二三十年,1
依然,2
强劲,1
基础,1
商业,1
生命力,1
巨头,1
埃克森,1
美孚,1
首席,1
执行官,1
员工,1
电子邮件,1
经营,1
计划,1
裁员,1
欧洲,1
同行,1
再生能源,2
很快,1
取代,1
石化,4
燃料,2
充满信心,1
并称,1
这一,1
经济繁荣,1
使命,1
一半左右,1
会为,1
贫穷,2
成本,2
效益,1
最佳,1
途径,1
非洲,1
亚洲,1
赞同,1
观点,1
技术,1
降低,1
尚需,1
时日,1
证明,1
拥有,1
煤气,1
电力,1
抗通,1
膨且,1
庞大,1
组合,1
偏爱,1
新能源,1
民主党人,1
执政,1
难以,1
页岩,1
油气,1
在内,1
占有,1
半壁,1
江山,1
局面,1
赞成,1
石油输出国组织,1
秘书长,1
巴尔,1
判断,1
占据,1
份额,1
